"listing_review_id","rating_type_id","rating_review_count","average_star_rating"
1,1,305,3.9803
1,2,305,4.059
1,3,305,3.9311
1,4,305,3.9803
1,5,305,4.0328
1,6,305,3.918
2,1,357,4.0112
2,2,357,4.014
2,3,357,3.9916
2,4,357,3.9748
2,5,357,3.9944
2,6,357,3.9552
3,1,423,4.0024
3,2,423,3.9645
3,3,423,4.0213
3,4,423,4.0024
3,5,423,4.0142
3,6,423,4.026
4,1,363,4.0248
4,2,363,4.0165
4,3,363,3.989
4,4,363,4.0358
4,5,363,3.978
4,6,363,3.9972
5,1,375,4.0347
5,2,375,4.0
5,3,375,3.9787
5,4,375,4.008
5,5,375,3.9493
5,6,375,3.9413
6,1,386,3.9896
6,2,386,3.9326
6,3,386,3.9974
6,4,386,4.0155
6,5,386,4.0674
6,6,386,3.9223
7,1,394,4.0482
7,2,394,3.9898
7,3,394,3.9518
7,4,394,4.0178
7,5,394,4.0254
7,6,394,3.9442
8,1,370,3.9135
8,2,370,4.0919
8,3,370,4.0297
8,4,370,4.0054
8,5,370,4.0081
8,6,370,3.9622
9,1,393,3.916
9,2,393,4.0738
9,3,393,4.0153
9,4,393,4.0636
9,5,393,3.883
9,6,393,4.0076
10,1,420,3.9857
10,2,420,4.0167
10,3,420,4.0333
10,4,420,3.9833
10,5,420,4.0429
10,6,420,4.031
11,1,371,4.0296
11,2,371,4.027
11,3,371,3.9784
11,4,371,3.9919
11,5,371,4.0566
11,6,371,3.9704
12,1,401,4.0274
12,2,401,4.0524
12,3,401,4.0374
12,4,401,4.0274
12,5,401,4.0
12,6,401,4.0648
13,1,343,4.035
13,2,343,4.0292
13,3,343,3.9971
13,4,343,3.9738
13,5,343,3.9767
13,6,343,3.9883
14,1,397,3.9748
14,2,397,4.0
14,3,397,3.9572
14,4,397,4.0252
14,5,397,4.005
14,6,397,4.0126
15,1,378,3.9921
15,2,378,4.0423
15,3,378,4.045
15,4,378,3.9762
15,5,378,4.0106
15,6,378,3.963
16,1,370,3.9919
16,2,370,3.9784
16,3,370,4.0
16,4,370,4.0243
16,5,370,4.0351
16,6,370,3.9757
17,1,385,4.0156
17,2,385,3.9662
17,3,385,3.9429
17,4,385,3.9896
17,5,385,3.9766
17,6,385,4.0519
18,1,420,4.0
18,2,420,4.0024
18,3,420,4.019
18,4,420,3.9381
18,5,420,4.0452
18,6,420,3.95
19,1,377,4.0053
19,2,377,3.9655
19,3,377,4.008
19,4,377,3.9947
19,5,377,4.0265
19,6,377,4.0477
20,1,394,3.9898
20,2,394,4.0127
20,3,394,4.0609
20,4,394,4.0228
20,5,394,3.9949
20,6,394,4.0
21,1,331,4.0483
21,2,331,4.0574
21,3,331,3.9819
21,4,331,4.0121
21,5,331,3.9517
21,6,331,4.0816
22,1,335,3.9582
22,2,335,4.0418
22,3,335,3.9313
22,4,335,3.997
22,5,335,4.0
22,6,335,3.9403
23,1,409,3.9976
23,2,409,4.0513
23,3,409,3.9804
23,4,409,4.0465
23,5,409,4.0244
23,6,409,4.0
24,1,376,3.984
24,2,376,3.9255
24,3,376,3.9973
24,4,376,3.992
24,5,376,3.9548
24,6,376,3.9707
25,1,396,4.0202
25,2,396,3.9495
25,3,396,3.9697
25,4,396,3.9596
25,5,396,4.0126
25,6,396,3.9747
26,1,414,3.9396
26,2,414,4.0
26,3,414,3.9879
26,4,414,3.9928
26,5,414,3.9686
26,6,414,4.0048
27,1,398,4.0025
27,2,398,4.0452
27,3,398,4.0101
27,4,398,4.0025
27,5,398,3.9698
27,6,398,4.0553
28,1,370,4.0108
28,2,370,4.0595
28,3,370,4.027
28,4,370,4.0027
28,5,370,3.9676
28,6,370,3.9351
29,1,312,4.0801
29,2,312,3.9872
29,3,312,3.9968
29,4,312,3.9904
29,5,312,4.0128
29,6,312,3.9487
30,1,365,4.0466
30,2,365,4.0685
30,3,365,4.0301
30,4,365,3.9973
30,5,365,4.0082
30,6,365,4.0027
31,1,402,4.0025
31,2,402,4.0423
31,3,402,4.01
31,4,402,3.9826
31,5,402,3.9876
31,6,402,3.9851
32,1,382,4.0366
32,2,382,4.0236
32,3,382,3.9764
32,4,382,4.0602
32,5,382,4.0
32,6,382,4.0524
33,1,367,3.9564
33,2,367,4.0899
33,3,367,4.0136
33,4,367,3.9455
33,5,367,4.03
33,6,367,4.0845
34,1,443,3.9932
34,2,443,3.9932
34,3,443,3.9707
34,4,443,4.0722
34,5,443,4.0293
34,6,443,4.1287
35,1,409,3.9902
35,2,409,3.978
35,3,409,4.0538
35,4,409,3.9804
35,5,409,4.0196
35,6,409,4.0171
36,1,335,4.0299
36,2,335,3.9672
36,3,335,3.9731
36,4,335,3.9851
36,5,335,4.0179
36,6,335,3.9582
37,1,316,4.0316
37,2,316,3.9905
37,3,316,3.9051
37,4,316,3.9399
37,5,316,3.9873
37,6,316,4.0759
38,1,319,4.0313
38,2,319,4.0094
38,3,319,4.0031
38,4,319,4.0251
38,5,319,4.0188
38,6,319,3.9875
39,1,337,3.9763
39,2,337,3.9466
39,3,337,4.0089
39,4,337,4.0178
39,5,337,3.9347
39,6,337,4.0267
40,1,354,4.0678
40,2,354,4.0424
40,3,354,4.0198
40,4,354,4.0169
40,5,354,3.9661
40,6,354,4.0395
41,1,381,3.9423
41,2,381,4.0472
41,3,381,4.042
41,4,381,4.0157
41,5,381,3.9685
41,6,381,3.9921
42,1,343,3.9913
42,2,343,3.9825
42,3,343,4.0816
42,4,343,4.0
42,5,343,3.9796
42,6,343,3.9913
43,1,375,4.0107
43,2,375,4.0267
43,3,375,4.0533
43,4,375,3.992
43,5,375,3.9813
43,6,375,4.0213
44,1,433,4.1062
44,2,433,3.9423
44,3,433,4.0693
44,4,433,4.0277
44,5,433,3.9561
44,6,433,4.0739
45,1,379,4.0079
45,2,379,3.9499
45,3,379,3.9842
45,4,379,4.058
45,5,379,4.0211
45,6,379,4.066
46,1,370,4.0432
46,2,370,3.9216
46,3,370,4.0162
46,4,370,4.1027
46,5,370,4.0054
46,6,370,3.9973
47,1,413,3.9637
47,2,413,4.0097
47,3,413,4.0073
47,4,413,3.9734
47,5,413,3.9734
47,6,413,4.0702
48,1,368,3.9755
48,2,368,4.0516
48,3,368,3.9457
48,4,368,3.9185
48,5,368,3.981
48,6,368,4.0707
49,1,383,3.9608
49,2,383,4.0235
49,3,383,3.9713
49,4,383,3.9687
49,5,383,4.0
49,6,383,3.9661
50,1,419,3.9761
50,2,419,3.9928
50,3,419,4.0286
50,4,419,3.9976
50,5,419,3.9976
50,6,419,4.031
51,1,370,4.0054
51,2,370,4.0297
51,3,370,3.9973
51,4,370,4.0216
51,5,370,4.0162
51,6,370,4.0162
52,1,395,4.0608
52,2,395,4.0456
52,3,395,4.0051
52,4,395,4.0101
52,5,395,3.9671
52,6,395,3.9316
53,1,376,4.0293
53,2,376,3.9707
53,3,376,3.9734
53,4,376,3.9814
53,5,376,3.9814
53,6,376,3.9495
54,1,346,4.0231
54,2,346,4.0723
54,3,346,4.078
54,4,346,3.9942
54,5,346,3.9538
54,6,346,3.9769
55,1,372,3.9301
55,2,372,3.9919
55,3,372,4.0323
55,4,372,3.9785
55,5,372,4.0403
55,6,372,3.9651
56,1,364,3.9615
56,2,364,3.9505
56,3,364,4.0495
56,4,364,3.9725
56,5,364,3.9643
56,6,364,4.0027
57,1,348,4.0287
57,2,348,3.977
57,3,348,4.0805
57,4,348,4.0201
57,5,348,3.9741
57,6,348,4.0172
58,1,387,4.031
58,2,387,4.0698
58,3,387,3.9612
58,4,387,3.969
58,5,387,4.0026
58,6,387,3.9587
59,1,358,3.9777
59,2,358,4.0503
59,3,358,4.0531
59,4,358,3.9972
59,5,358,4.0615
59,6,358,3.9497
60,1,412,3.9879
60,2,412,3.9223
60,3,412,4.0049
60,4,412,3.9733
60,5,412,4.0461
60,6,412,4.0364
61,1,408,3.9657
61,2,408,4.0319
61,3,408,4.0441
61,4,408,4.0441
61,5,408,3.973
61,6,408,4.0196
62,1,409,3.9951
62,2,409,4.0367
62,3,409,4.0244
62,4,409,3.9364
62,5,409,3.9976
62,6,409,4.0318
63,1,381,4.0604
63,2,381,4.0079
63,3,381,3.9764
63,4,381,4.0499
63,5,381,4.0026
63,6,381,4.0971
64,1,336,4.006
64,2,336,4.0655
64,3,336,4.0655
64,4,336,3.9821
64,5,336,4.003
64,6,336,3.9583
65,1,382,3.9738
65,2,382,4.0209
65,3,382,4.0209
65,4,382,4.0026
65,5,382,3.9686
65,6,382,3.9136
66,1,393,4.0382
66,2,393,4.0331
66,3,393,4.0127
66,4,393,4.056
66,5,393,3.9262
66,6,393,4.0585
67,1,320,3.9313
67,2,320,3.9688
67,3,320,3.9031
67,4,320,4.0625
67,5,320,3.9688
67,6,320,3.9781
68,1,349,3.9341
68,2,349,3.9341
68,3,349,3.9857
68,4,349,3.9971
