"id","review_id","rating_type_id","star_ratings"
35569,5929,1,5
35570,5929,2,4
35571,5929,3,4
35572,5929,4,5
35573,5929,5,4
35574,5929,6,3
35575,5930,1,4
35576,5930,2,4
35577,5930,3,5
35578,5930,4,5
35579,5930,5,4
35580,5930,6,5
35581,5931,1,5
35582,5931,2,4
35583,5931,3,5
35584,5931,4,3
35585,5931,5,5
35586,5931,6,4
35587,5932,1,5
35588,5932,2,4
35589,5932,3,5
35590,5932,4,3
35591,5932,5,4
35592,5932,6,4
35593,5933,1,5
35594,5933,2,4
35595,5933,3,5
35596,5933,4,5
35597,5933,5,5
35598,5933,6,3
35599,5934,1,3
35600,5934,2,3
35601,5934,3,4
35602,5934,4,5
35603,5934,5,3
35604,5934,6,3
35605,5935,1,4
35606,5935,2,3
35607,5935,3,3
35608,5935,4,5
35609,5935,5,3
35610,5935,6,5
35611,5936,1,5
35612,5936,2,5
35613,5936,3,5
35614,5936,4,4
35615,5936,5,5
35616,5936,6,4
35617,5937,1,5
35618,5937,2,4
35619,5937,3,3
35620,5937,4,5
35621,5937,5,3
35622,5937,6,4
35623,5938,1,5
35624,5938,2,5
35625,5938,3,5
35626,5938,4,3
35627,5938,5,5
35628,5938,6,4
35629,5939,1,3
35630,5939,2,3
35631,5939,3,3
35632,5939,4,4
35633,5939,5,3
35634,5939,6,5
35635,5940,1,3
35636,5940,2,3
35637,5940,3,3
35638,5940,4,5
35639,5940,5,3
35640,5940,6,4
35641,5941,1,3
35642,5941,2,3
35643,5941,3,3
35644,5941,4,4
35645,5941,5,4
35646,5941,6,4
35647,5942,1,4
35648,5942,2,5
35649,5942,3,3
35650,5942,4,3
35651,5942,5,4
35652,5942,6,4
35653,5943,1,4
35654,5943,2,5
35655,5943,3,3
35656,5943,4,4
35657,5943,5,3
35658,5943,6,5
35659,5944,1,4
35660,5944,2,5
35661,5944,3,3
35662,5944,4,3
35663,5944,5,3
35664,5944,6,5
35665,5945,1,3
35666,5945,2,4
35667,5945,3,3
35668,5945,4,5
35669,5945,5,4
35670,5945,6,4
35671,5946,1,3
35672,5946,2,3
35673,5946,3,4
35674,5946,4,3
35675,5946,5,4
35676,5946,6,5
35677,5947,1,3
35678,5947,2,3
35679,5947,3,3
35680,5947,4,4
35681,5947,5,5
35682,5947,6,4
35683,5948,1,3
35684,5948,2,5
35685,5948,3,3
35686,5948,4,4
35687,5948,5,3
35688,5948,6,4
35689,5949,1,3
35690,5949,2,3
35691,5949,3,3
35692,5949,4,4
35693,5949,5,3
35694,5949,6,5
35695,5950,1,5
35696,5950,2,5
35697,5950,3,4
35698,5950,4,5
35699,5950,5,5
35700,5950,6,4
35701,5951,1,5
35702,5951,2,4
35703,5951,3,4
35704,5951,4,5
35705,5951,5,5
35706,5951,6,3
35707,5952,1,4
35708,5952,2,5
35709,5952,3,5
35710,5952,4,3
35711,5952,5,3
35712,5952,6,5
35713,5953,1,3
35714,5953,2,4
35715,5953,3,3
35716,5953,4,4
35717,5953,5,4
35718,5953,6,3
35719,5954,1,5
35720,5954,2,4
35721,5954,3,4
35722,5954,4,4
35723,5954,5,4
35724,5954,6,5
35725,5955,1,3
35726,5955,2,3
35727,5955,3,5
35728,5955,4,4
35729,5955,5,3
35730,5955,6,3
35731,5956,1,4
35732,5956,2,4
35733,5956,3,5
35734,5956,4,4
35735,5956,5,3
35736,5956,6,4
35737,5957,1,3
35738,5957,2,3
35739,5957,3,4
35740,5957,4,5
35741,5957,5,3
35742,5957,6,3
35743,5958,1,4
35744,5958,2,5
35745,5958,3,3
35746,5958,4,5
35747,5958,5,5
35748,5958,6,4
35749,5959,1,3
35750,5959,2,4
35751,5959,3,4
35752,5959,4,4
35753,5959,5,5
35754,5959,6,5
35755,5960,1,4
35756,5960,2,4
35757,5960,3,4
35758,5960,4,3
35759,5960,5,4
35760,5960,6,4
35761,5961,1,5
35762,5961,2,3
35763,5961,3,3
35764,5961,4,4
35765,5961,5,3
35766,5961,6,5
35767,5962,1,3
35768,5962,2,5
35769,5962,3,3
35770,5962,4,3
35771,5962,5,3
35772,5962,6,5
35773,5963,1,5
35774,5963,2,3
35775,5963,3,5
35776,5963,4,5
35777,5963,5,3
35778,5963,6,3
35779,5964,1,5
35780,5964,2,5
35781,5964,3,5
35782,5964,4,5
35783,5964,5,5
35784,5964,6,3
35785,5965,1,3
35786,5965,2,4
35787,5965,3,4
35788,5965,4,3
35789,5965,5,5
35790,5965,6,4
35791,5966,1,5
35792,5966,2,4
35793,5966,3,3
35794,5966,4,3
35795,5966,5,4
35796,5966,6,5
35797,5967,1,5
35798,5967,2,3
35799,5967,3,5
35800,5967,4,3
35801,5967,5,3
35802,5967,6,3
35803,5968,1,4
35804,5968,2,4
35805,5968,3,4
35806,5968,4,3
35807,5968,5,3
35808,5968,6,4
35809,5969,1,3
35810,5969,2,4
35811,5969,3,5
35812,5969,4,3
35813,5969,5,4
35814,5969,6,5
35815,5970,1,4
35816,5970,2,4
35817,5970,3,3
35818,5970,4,3
35819,5970,5,3
35820,5970,6,3
35821,5971,1,3
35822,5971,2,3
35823,5971,3,4
35824,5971,4,5
35825,5971,5,3
35826,5971,6,5
35827,5972,1,4
35828,5972,2,4
35829,5972,3,4
35830,5972,4,4
35831,5972,5,4
35832,5972,6,3
35833,5973,1,5
35834,5973,2,3
35835,5973,3,4
35836,5973,4,3
35837,5973,5,3
35838,5973,6,3
35839,5974,1,5
35840,5974,2,4
35841,5974,3,5
35842,5974,4,4
35843,5974,5,4
35844,5974,6,3
35845,5975,1,3
35846,5975,2,4
35847,5975,3,4
35848,5975,4,5
35849,5975,5,3
35850,5975,6,3
35851,5976,1,5
35852,5976,2,5
35853,5976,3,4
35854,5976,4,5
35855,5976,5,4
35856,5976,6,4
35857,5977,1,3
35858,5977,2,4
35859,5977,3,5
35860,5977,4,4
35861,5977,5,4
35862,5977,6,5
35863,5978,1,3
35864,5978,2,3
35865,5978,3,4
35866,5978,4,4
35867,5978,5,3
35868,5978,6,4
35869,5979,1,3
35870,5979,2,3
35871,5979,3,5
35872,5979,4,4
35873,5979,5,5
35874,5979,6,3
35875,5980,1,4
35876,5980,2,3
35877,5980,3,4
35878,5980,4,4
35879,5980,5,4
35880,5980,6,5
35881,5981,1,5
35882,5981,2,5
35883,5981,3,4
35884,5981,4,4
35885,5981,5,4
35886,5981,6,3
35887,5982,1,3
35888,5982,2,5
35889,5982,3,5
35890,5982,4,4
35891,5982,5,5
35892,5982,6,4
35893,5983,1,3
35894,5983,2,3
35895,5983,3,3
35896,5983,4,4
35897,5983,5,4
35898,5983,6,3
35899,5984,1,4
35900,5984,2,5
35901,5984,3,3
35902,5984,4,4
35903,5984,5,3
35904,5984,6,3
35905,5985,1,5
35906,5985,2,3
35907,5985,3,3
35908,5985,4,3
35909,5985,5,4
35910,5985,6,5
35911,5986,1,3
35912,5986,2,5
35913,5986,3,4
35914,5986,4,5
35915,5986,5,3
35916,5986,6,4
35917,5987,1,4
35918,5987,2,3
35919,5987,3,5
35920,5987,4,4
35921,5987,5,4
35922,5987,6,3
35923,5988,1,4
35924,5988,2,4
35925,5988,3,3
35926,5988,4,5
35927,5988,5,5
35928,5988,6,3
35929,5989,1,5
35930,5989,2,3
35931,5989,3,5
35932,5989,4,4
35933,5989,5,4
35934,5989,6,4
35935,5990,1,5
35936,5990,2,3
35937,5990,3,3
35938,5990,4,3
35939,5990,5,3
35940,5990,6,5
35941,5991,1,4
35942,5991,2,3
35943,5991,3,3
35944,5991,4,3
35945,5991,5,5
35946,5991,6,4
35947,5992,1,5
35948,5992,2,3
35949,5992,3,5
35950,5992,4,3
35951,5992,5,5
35952,5992,6,4
35953,5993,1,3
35954,5993,2,4
35955,5993,3,4
35956,5993,4,4
35957,5993,5,5
35958,5993,6,4
35959,5994,1,4
35960,5994,2,4
35961,5994,3,4
35962,5994,4,4
35963,5994,5,5
